model_type,config_name,train_f1,test_f1,overfitting_gap_f1,train_auroc,test_auroc,overfitting_gap_auroc,train_score,test_score,overfitting_gap_score
DecisionTree,Level1,0.7373540856031129,0.7413671599718111,-0.004013074368698244,0.6231512625873126,0.6262648691514671,-0.003113606564154492,0.6802526740952127,0.6838160145616391,-0.003563340466426368
DecisionTree,Level2,0.7763698018918437,0.7339971550497866,0.042372646842057105,0.751086006874821,0.6659331218609569,0.08515288501386409,0.7637279043833323,0.6999651384553718,0.06376276592796049
DecisionTree,Level3,0.9700902934537246,0.6789197299324832,0.2911705635212414,0.9907604719829011,0.5530363908714424,0.43772408111145866,0.9804253827183128,0.6159780604019628,0.36444732231635
DecisionTree,Level4,1.0,0.6564063101192766,0.34359368988072336,1.0,0.5726359150585956,0.42736408494140443,1.0,0.614521112588936,0.38547888741106395
DecisionTree,Level5,1.0,0.6564063101192766,0.34359368988072336,1.0,0.5726359150585956,0.42736408494140443,1.0,0.614521112588936,0.38547888741106395
NeuralNetwork,Level1,0.9567895294004427,0.6666666666666666,0.2901228627337761,0.9666691547495759,0.6334196845537051,0.3332494701958708,0.9617293420750093,0.6500431756101859,0.3116861664648234
NeuralNetwork,Level2,0.9705515587529976,0.6948321388155413,0.2757194199374563,0.9814519203225877,0.6562979117102827,0.3251540086123049,0.9760017395377927,0.675565025262912,0.3004367142748807
NeuralNetwork,Level3,0.9704949543488708,0.693039178394827,0.2774557759540438,0.9838860917083491,0.6466569741827474,0.3372291175256017,0.97719052302861,0.6698480762887872,0.3073424467398228
NeuralNetwork,Level4,0.9687950072011522,0.7081593927893738,0.2606356144117784,0.9770002809422029,0.6581562252180808,0.3188440557241221,0.9728976440716776,0.6831578090037274,0.2897398350679502
NeuralNetwork,Level5,0.9693075004795703,0.7013759761993306,0.2679315242802397,0.9741100742568805,0.6348735571415984,0.339236517115282,0.9717087873682253,0.6681247666704645,0.3035840206977608
LogisticRegression,Level-10,0.7836363636363637,0.7511669658886894,0.03246939774767432,0.7887228697970607,0.7142250418539079,0.07449782794315285,0.7861796167167122,0.7326960038712986,0.053483612845413586
LogisticRegression,Level-9,0.7847342117219446,0.7536751523843671,0.031059059337577466,0.7888847696273935,0.7143607366287779,0.07452403299861565,0.786809490674669,0.7340179445065724,0.05279154616809656
LogisticRegression,Level-8,0.7835970176395708,0.7529665587918015,0.03063045884776927,0.7886860167904282,0.7142232795841044,0.07446273720632379,0.7861415172149995,0.7335949191879529,0.05254659802704653
LogisticRegression,Level-7,0.7835725967654007,0.7519769949676491,0.03159560179775156,0.7887579600290857,0.7142787910829148,0.0744791689461709,0.7861652783972433,0.733127893025282,0.05303738537196123
LogisticRegression,Level-6,0.784,0.7519769949676491,0.03202300503235089,0.78870474627063,0.7142470702264516,0.07445767604417841,0.786352373135315,0.7331120325970504,0.05324034053826465
LogisticRegression,Level-5,0.7830909090909091,0.7525179856115108,0.030572923479398217,0.7887321243637486,0.7142470702264516,0.074485054137297,0.7859115167273288,0.7333825279189812,0.052528988808347665
LogisticRegression,Level-4,0.783383328788292,0.7528735632183908,0.03050976556990115,0.7886875592182094,0.7143122742091814,0.07437528500902801,0.7860354440032506,0.7335929187137862,0.05244252528946447
LogisticRegression,Level-3,0.7837469320970821,0.7519769949676491,0.03176993712943299,0.788710310027984,0.7142038946162657,0.07450641541171832,0.7862286210625331,0.7330904447919574,0.05313817627057571
LogisticRegression,Level-2,0.7834545454545454,0.7533213644524237,0.0301331810021217,0.7885634488685189,0.7141915587276413,0.07437189014087764,0.7860089971615322,0.7337564615900325,0.05225253557149967
LogisticRegression,Level-1,0.7833515085423483,0.7526959022286125,0.03065560631373576,0.7886944450565191,0.7142162305048902,0.07447821455162884,0.7860229767994337,0.7334560663667513,0.05256691043268236
LogisticRegression,Level0,0.7834227028992093,0.7524254401724757,0.030997262726733643,0.7887285437278275,0.7142118248303815,0.07451671889744604,0.7860756233135184,0.7333186325014286,0.05275699081208984
LogisticRegression,Level1,0.7835332606324973,0.7521551724137931,0.03137808821870414,0.7886822158076813,0.7142541193056657,0.07442809650201554,0.7861077382200893,0.7332046458597294,0.05290309236035984
LogisticRegression,Level2,0.7829802709337212,0.7524254401724757,0.030554830761245544,0.7886605667320363,0.7142435456868447,0.07441702104519166,0.7858204188328788,0.7333344929296601,0.052485925903218655
LogisticRegression,Level3,0.7837862401163319,0.7533213644524237,0.03046487566390821,0.7884926624506974,0.7141078509119747,0.07438481153872267,0.7861394512835147,0.7337146076821992,0.052424843601315496
LogisticRegression,Level4,0.7838967648127954,0.753311851056212,0.030584913756583343,0.78823672961241,0.7139377918759362,0.07429893773647378,0.7860667472126026,0.7336248214660741,0.052441925746528506
LogisticRegression,Level5,0.7838181818181819,0.7506261180679785,0.03319206375020334,0.788055053654452,0.7142259229888095,0.07382913066564256,0.785936617736317,0.732426020528394,0.05351059720792295
LogisticRegression,Level6,0.782285143842454,0.7507142857142857,0.03157085812816829,0.7871266223035057,0.7151220371838929,0.07200458511961283,0.7847058830729798,0.7329181614490893,0.05178772162389056
LogisticRegression,Level7,0.7827426810477658,0.7496433666191156,0.03309931442865022,0.7863268734988873,0.7155819896026081,0.0707448838962792,0.7845347772733265,0.7326126781108618,0.05192209916246471
