iter	MultiClass
0	1.814026319
1	1.711874946
2	1.624306409
3	1.556807019
4	1.49751294
5	1.447179911
6	1.404900835
7	1.368081739
8	1.334524074
9	1.304901767
10	1.277366954
11	1.254130342
12	1.231732145
13	1.211305907
14	1.194814975
15	1.17880581
16	1.164914328
17	1.152053039
18	1.138302255
19	1.126669864
20	1.116067516
21	1.105573779
22	1.096739425
23	1.089249666
24	1.082958997
25	1.075489517
26	1.068370653
27	1.062395489
28	1.056557679
29	1.052006253
30	1.046551213
31	1.040368189
32	1.036049631
33	1.031224404
34	1.026254928
35	1.022736079
36	1.018478873
37	1.01486384
38	1.010612843
39	1.006647015
40	1.00356903
41	0.9995327586
42	0.9971471185
43	0.9938936396
44	0.9913705644
45	0.9886450522
46	0.9851680573
47	0.9821161907
48	0.9802603336
49	0.9775691127
50	0.9746898916
51	0.9736083377
52	0.9717791838
53	0.9693326972
54	0.9673400358
55	0.9648979883
56	0.9624545402
57	0.960241572
58	0.9582055896
59	0.9560965079
60	0.9544423582
61	0.9522720301
62	0.9500014924
63	0.9476646398
64	0.946389155
65	0.9453747705
66	0.9435350302
67	0.9425840616
68	0.9409265808
69	0.9387303446
70	0.9372966645
71	0.9352866022
72	0.9333509516
73	0.9320987216
74	0.9295577102
75	0.9284025541
76	0.9266540839
77	0.9251761114
78	0.9236255586
79	0.922052071
80	0.9196071717
81	0.9181140468
82	0.9166866157
83	0.9151914013
84	0.9136277383
85	0.9124288114
86	0.9104779693
87	0.9086890541
88	0.9073023715
89	0.905774555
90	0.9048217937
91	0.9037204271
92	0.9024623218
93	0.9007683426
94	0.8996015005
95	0.8983271116
96	0.8967892398
97	0.8956088917
98	0.8945699839
99	0.8930428327
100	0.8903889639
101	0.8886342348
102	0.8878034061
103	0.8859035482
104	0.8848228772
105	0.8835504839
106	0.8806752408
107	0.8791595246
108	0.877272182
109	0.87550486
110	0.8750064647
111	0.8738723676
112	0.8724797909
113	0.8716317799
114	0.8694475108
115	0.8672411828
116	0.8662956652
117	0.8647661892
118	0.86381066
119	0.8629196545
120	0.8617169468
121	0.8596493172
122	0.8584059882
123	0.8559047505
124	0.8541969929
125	0.8531319048
126	0.8512489213
127	0.8497599286
128	0.8475781547
129	0.8458992668
130	0.8446783932
131	0.8430771325
132	0.8415628424
133	0.8407600598
134	0.8392517073
135	0.8377048664
136	0.83671736
137	0.8352152121
138	0.834072329
139	0.8331469272
140	0.8309692368
141	0.8294753866
142	0.8282180761
143	0.8274038689
144	0.8263739778
145	0.8253202651
146	0.8249339309
147	0.8237957911
148	0.8231852974
149	0.822298548
150	0.8209974487
151	0.8193317998
152	0.8180428057
153	0.8161575424
154	0.8147836095
155	0.8138627219
156	0.8132241042
157	0.8120660931
158	0.8108572602
159	0.8104580834
160	0.8086999181
161	0.8072336784
162	0.8054648689
163	0.8047705163
164	0.8034598705
165	0.8027805323
166	0.8011212879
167	0.7999865785
168	0.7989683548
169	0.7979954549
170	0.7968912476
171	0.7960025544
172	0.7944589108
173	0.7934824072
174	0.7926883002
175	0.7911529733
176	0.7906366686
177	0.7888395312
178	0.7874854508
179	0.7858182732
180	0.7845724393
181	0.7830863099
182	0.7822518997
183	0.7800940508
184	0.7794099032
185	0.778897805
186	0.7778777258
187	0.7774899637
188	0.7768779127
189	0.7755476427
190	0.7738732171
191	0.7728519593
192	0.7723902064
193	0.7708440211
194	0.7699398503
195	0.7694469099
196	0.7690724162
197	0.7679513221
198	0.7664666467
199	0.7656580701
200	0.764959317
201	0.7644678015
202	0.7638158889
203	0.7627829936
204	0.7619180299
205	0.7613335912
206	0.7600064595
207	0.7580585223
208	0.7565711239
209	0.7557973042
210	0.7546247021
211	0.7534117434
212	0.7529192488
213	0.7514048071
214	0.7508673581
215	0.7499339426
216	0.7487418661
217	0.7476046194
218	0.7459040778
219	0.7444201915
220	0.7441259555
221	0.7438255693
222	0.7432221227
223	0.742534878
224	0.7413444328
225	0.7405321961
226	0.7398561372
227	0.7391125714
228	0.7384050782
229	0.7376251614
230	0.7367190032
231	0.7358671206
232	0.7348775772
233	0.7342299327
234	0.7325260803
235	0.7316111441
236	0.7307783746
237	0.7301110992
238	0.7291209262
239	0.7280642481
240	0.7267529974
241	0.7259549643
242	0.7255352377
243	0.7242699369
244	0.7235696839
245	0.7227153611
246	0.7219870538
247	0.721527824
248	0.7201878134
249	0.7193850175
250	0.7186530141
251	0.7178890296
252	0.7175778554
253	0.716689908
254	0.7164571277
255	0.7159478569
256	0.715738292
257	0.7154433902
258	0.7149749715
