iter	Passed	Remaining
0	55	55309
1	57	28763
2	60	20014
3	62	15593
4	64	12907
5	67	11184
6	69	9888
7	71	8917
8	74	8160
9	76	7603
10	79	7188
11	82	6789
12	85	6467
13	87	6188
14	90	5921
15	93	5732
16	95	5542
17	98	5359
18	101	5231
19	104	5101
20	106	4967
21	109	4860
22	112	4788
23	115	4687
24	117	4595
25	120	4499
26	122	4425
27	125	4364
28	128	4293
29	131	4247
30	134	4191
31	136	4129
32	138	4068
33	141	4028
34	144	3981
35	147	3937
36	149	3896
37	152	3858
38	155	3821
39	157	3788
40	160	3756
41	163	3728
42	166	3696
43	168	3666
44	171	3639
45	174	3616
46	177	3589
47	179	3558
48	182	3533
49	184	3508
50	187	3482
51	189	3461
52	192	3437
53	195	3422
54	197	3396
55	200	3374
56	202	3351
57	205	3333
58	208	3318
59	210	3299
60	213	3282
61	215	3265
62	218	3246
63	221	3232
64	223	3213
65	225	3196
66	228	3178
67	230	3161
68	233	3150
69	235	3132
70	238	3115
71	240	3102
72	242	3085
73	245	3069
74	247	3051
75	250	3039
76	252	3022
77	254	3007
78	256	2995
79	259	2982
80	261	2968
81	263	2955
82	266	2946
83	268	2933
84	271	2920
85	273	2909
86	276	2898
87	278	2885
88	280	2874
89	283	2864
90	285	2852
91	287	2840
92	290	2828
93	292	2816
94	294	2805
95	296	2794
96	299	2784
97	301	2771
98	303	2761
99	306	2755
100	308	2745
101	310	2735
102	312	2724
103	315	2716
104	317	2705
105	319	2697
106	322	2688
107	324	2681
108	326	2672
109	329	2668
110	332	2660
111	334	2651
112	336	2641
113	339	2636
114	341	2629
115	344	2622
116	346	2615
117	348	2608
118	351	2600
119	353	2595
120	356	2590
121	358	2582
122	361	2575
123	363	2568
124	365	2560
125	368	2554
126	370	2546
127	372	2540
128	375	2533
129	377	2526
130	379	2520
131	382	2512
132	384	2506
133	387	2502
134	389	2497
135	392	2491
136	394	2483
137	396	2478
138	399	2473
139	401	2466
140	404	2461
141	406	2457
142	409	2452
143	411	2445
144	413	2440
145	415	2433
146	418	2426
147	420	2421
148	423	2417
149	425	2410
150	427	2404
151	430	2399
152	432	2391
153	434	2386
154	436	2380
155	439	2375
156	441	2369
157	443	2363
158	446	2360
159	448	2354
160	451	2351
161	453	2346
162	456	2342
163	458	2335
164	460	2330
165	462	2325
166	464	2318
167	467	2313
168	469	2307
169	471	2301
170	473	2295
171	475	2291
172	478	2287
173	480	2283
174	483	2277
175	485	2272
176	487	2268
177	490	2263
178	492	2258
179	494	2254
180	497	2250
181	499	2245
182	501	2239
183	504	2236
184	506	2232
185	509	2229
186	512	2226
187	514	2221
188	517	2219
189	519	2216
190	522	2211
191	524	2207
192	526	2201
193	529	2199
194	531	2194
195	534	2190
196	536	2186
197	538	2182
198	541	2178
199	543	2174
200	545	2170
201	548	2166
202	550	2161
203	552	2157
204	555	2153
205	557	2149
206	560	2146
207	562	2141
208	564	2138
209	567	2134
210	570	2131
211	572	2127
212	574	2123
213	577	2119
214	579	2116
215	581	2111
216	584	2107
217	586	2105
218	589	2101
219	591	2097
220	593	2093
221	596	2089
222	598	2085
223	600	2080
224	603	2077
225	605	2073
226	607	2069
227	610	2065
228	612	2061
229	614	2058
230	617	2055
231	619	2051
232	622	2048
233	624	2045
